10 32.280000 0.284428  4.072000 0.006265 
20 49.788000 0.616173  7.988000 0.025045 
50 79.228000 1.301029  18.063000 0.143477 
100 118.187000 2.728761  34.767000 0.560649 
200 156.908000 4.202532  63.086000 2.032493 
500 228.691000 7.271405  126.238000 7.831381 
1000 288.726000 11.240445  201.094000 23.748856 
5000 485.831000 25.465832  514.259000 168.398733 
10000 565.978000 24.567977  661.123000 227.784496 
50000 769.694000 30.543440  1071.914000 442.054431 
100000 861.436000 29.855211  1229.418000 501.137837 
500000 1064.148000 29.229500  1630.447000 667.746488 
