0.200000 0.031756 0.000077 0.864366  0.000000 100 10
0.250000 0.036400 0.000092 0.838674  0.000000 100 13
0.300000 0.039660 0.000104 0.827265  0.000000 100 15
0.350000 0.045343 0.000128 0.798842  0.000000 100 18
0.400000 0.049318 0.000145 0.779554  0.000000 100 20
0.450000 0.053508 0.000159 0.775343  0.000000 100 22
0.500000 0.060745 0.000186 0.767569  0.000000 100 25
0.550000 0.066073 0.000212 0.736802  0.000000 100 27
0.600000 0.075042 0.000248 0.722953  0.000000 100 30
0.650000 0.085969 0.000297 0.703368  0.000000 100 33
0.700000 0.093795 0.000332 0.694931  0.000000 100 35
0.750000 0.106627 0.000385 0.686344  0.000100 100 38
0.800000 0.117074 0.000433 0.674580  0.000700 100 40
0.850000 0.136283 0.000511 0.680928  0.004300 100 43
0.900000 0.149337 0.000563 0.684226  0.013100 100 45
0.950000 0.172656 0.000645 0.706719  0.040200 100 48
1.000000 0.190090 0.000715 0.710633  0.081900 100 50
1.050000 0.222305 0.000797 0.748238  0.169400 100 53
1.100000 0.246654 0.000869 0.769810  0.262800 100 55
1.150000 0.285628 0.000952 0.801902  0.413900 100 58
1.200000 0.313966 0.000996 0.825614  0.523700 100 60
1.250000 0.361862 0.001039 0.863018  0.689100 100 63
1.300000 0.395903 0.001063 0.883452  0.777100 100 65
1.350000 0.445402 0.001052 0.910732  0.875800 100 68
1.400000 0.481518 0.001024 0.928549  0.924800 100 70
1.450000 0.530370 0.000955 0.948452  0.969600 100 73
1.500000 0.561540 0.000882 0.960180  0.985000 100 75
1.550000 0.605299 0.000795 0.971797  0.994800 100 78
1.600000 0.632627 0.000724 0.977976  0.997300 100 80
1.650000 0.669122 0.000627 0.984575  0.999700 100 83
1.700000 0.691566 0.000571 0.987724  0.999800 100 85
1.750000 0.718785 0.000524 0.990181  1.000000 100 88
1.800000 0.736980 0.000489 0.991691  1.000000 100 90
1.850000 0.759368 0.000454 0.993156  1.000000 100 93
1.900000 0.773223 0.000440 0.993753  1.000000 100 95
1.950000 0.792046 0.000416 0.994633  1.000000 100 98
